user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.238	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	83.86	11	0.8627191187683438	N/A
bin.239	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003553245.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__T1Sed10-97;s__T1Sed10-97 sp003553245	75.84	0.02	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	81.28	11	0.8281071835798409	N/A
bin.24	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__GCA-2699585;s__	N/A	N/A	N/A	N/A	N/A	GCA_002699585.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__GCA-2699585;s__GCA-2699585 sp002699585	75.48	0.03	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	93.63	11	0.8845578227549742	N/A
bin.240	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__GCA-2706885;s__	N/A	N/A	N/A	N/A	N/A	GCA_002706885.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__GCA-2706885;s__GCA-2706885 sp002706885	77.95	0.21	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	85.09	11	0.920975128861171	N/A
bin.241	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12170;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	95.49	11	0.8124724637476916	N/A
bin.242	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	95.1	11	0.6604487508369256	N/A
bin.243	d__Bacteria;p__FCPU426;c__JAAXVQ01;o__JAAXVQ01;f__JAAXVQ01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_013335425.1	95.0	d__Bacteria;p__FCPU426;c__JAAXVQ01;o__JAAXVQ01;f__JAAXVQ01;g__JAAXVQ01;s__JAAXVQ01 sp013335425	75.97	0.05	d__Bacteria;p__FCPU426;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	80.78	11	0.741901329933649	N/A
bin.244	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__CAIYYT01;f__JAABVY01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__CAIYYT01;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	91.05	11	0.8106265833640569	N/A
bin.245	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__REDD01;s__	N/A	N/A	N/A	N/A	N/A	GCA_007693725.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__REDD01;s__REDD01 sp007693725	76.82	0.15	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	83.72	11	0.8667882123775028	N/A
bin.246	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCF_001311565.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfothermus;s__Desulfothermus okinawensis	75.9	0.01	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	85.25	11	0.8070993443156224	N/A
bin.247	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__SLSQ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_007130355.1	95.0	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__SLSQ01;s__SLSQ01 sp007130355	79.79	0.43	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.85	11	0.8955199280344804	N/A
bin.248	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfonatronovibrionaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94.98	11	0.7614693737693421	N/A
bin.249	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	90.41	11	0.655162330700783	N/A
bin.25	d__Bacteria;p__Latescibacterota;c__Latescibacteria;o__Latescibacterales;f__Latescibacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_000403035.1	95.0	d__Bacteria;p__Latescibacterota;c__Latescibacteria;o__Latescibacterales;f__Latescibacteraceae;g__Latescibacter;s__Latescibacter anaerobius	74.5	0.01	d__Bacteria;p__Latescibacterota;c__Latescibacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	59.16	11	0.7845506546986412	N/A
bin.251	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_009908745.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__Phaeodactylibacter sp009908745	88.94	0.87	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000759025.1, s__Phaeodactylibacter xiamenensis, 95.0, 77.75, 0.19; GCF_007993045.1, s__Phaeodactylibacter luteus, 95.0, 76.73, 0.13	96.86	11	0.9889264647518015	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.252	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__PWNQ01;g__PWNQ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_003557725.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__PWNQ01;g__PWNQ01;s__PWNQ01 sp003557725	76.5	0.04	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__PWNQ01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	92.87	11	0.8816465988548563	N/A
bin.253	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.25	11	0.6682183980085946	N/A
bin.254	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCF_007748075.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Pan265;s__Pan265 sp007748075	77.47	0.18	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.57	11	0.8490459642380369	N/A
bin.255	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003551645.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__PUND01;s__PUND01 sp003551645	76.7	0.16	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.04	11	0.789314224916727	N/A
bin.256	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__CAILMK01;f__JAAYUY01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_012517435.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__CAILMK01;f__JAAYUY01;g__JAAYUY01;s__JAAYUY01 sp012517435	74.66	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__CAILMK01;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	94.56	11	0.7288837312206977	N/A
bin.258	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	88.47	11	0.8151191392334461	N/A
bin.259	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Rhodothalassiaceae;g__Rhodothalassium;s__	N/A	N/A	N/A	N/A	N/A	GCF_004341375.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Rhodothalassiaceae;g__Rhodothalassium;s__Rhodothalassium salexigens	78.75	0.43	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Rhodothalassiaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	88.96	11	0.9157366828024522	N/A
bin.26	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000759025.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__Phaeodactylibacter xiamenensis	80.74	0.43	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__	taxonomic classification defined by topology and ANI	N/A	GCA_009908745.1, s__Phaeodactylibacter sp009908745, 95.0, 78.04, 0.21; GCF_007993045.1, s__Phaeodactylibacter luteus, 95.0, 77.15, 0.14	96.86	11	0.9645649326826192	N/A
bin.260	d__Bacteria;p__Planctomycetota;c__UBA11346;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002746535.1	95.0	d__Bacteria;p__Planctomycetota;c__UBA11346;o__GCA-2746535;f__GCA-2746535;g__GCA-2746535;s__GCA-2746535 sp002746535	75.99	0.0	d__Bacteria;p__Planctomycetota;c__UBA11346;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	83.56	11	0.507933013069426	N/A
bin.261	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAADJA01;g__JAADJA01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013151015.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAADJA01;g__JAADJA01;s__JAADJA01 sp013151015	75.6	0.04	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	95.51	11	0.8813617286307697	N/A
bin.262	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCF_001262605.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Pseudobacteroides;s__Pseudobacteroides cellulosolvens	75.81	0.04	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	68.06	11	0.7970961050530194	N/A
bin.263	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	47.43	11	0.7361362957577089	N/A
bin.264	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003551645.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__PUND01;s__PUND01 sp003551645	76.27	0.17	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	77.88	11	0.79523043806238	Genome has more than 10.0% of markers with multiple hits
bin.265	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	63.37	11	0.8901000130316047	N/A
bin.267	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	83.86	11	0.6692786917927982	N/A
bin.268	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	84.47	11	0.7632757990995024	N/A
bin.27	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Verruco-01;g__CK1056;s__	N/A	N/A	N/A	N/A	N/A	GCA_009908535.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Verruco-01;g__CK1056;s__CK1056 sp009908535	86.65	0.56	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Verruco-01;g__CK1056;s__	taxonomic classification defined by topology and ANI	N/A	GCF_010500615.1, s__CK1056 sp010500615, 95.0, 76.2, 0.06	74.65	11	0.9829032923132022	N/A
bin.271	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Salinivirgaceae;g__Salinivirga;s__	N/A	N/A	N/A	N/A	N/A	GCF_001443605.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Salinivirgaceae;g__Salinivirga;s__Salinivirga cyanobacteriivorans	81.45	0.43	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Salinivirgaceae;g__Salinivirga;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002869335.1, s__Salinivirga sp002869335, 95.0, 76.98, 0.11	95.99	11	0.9667639700778621	N/A
bin.272	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__KCTC-12870;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_014651635.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__KCTC-12870;g__Cerasicoccus;s__Cerasicoccus arenae	76.5	0.03	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__KCTC-12870;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	89.6	11	0.8070967247984434	N/A
bin.273	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	98.27	11	0.9054197089160458	N/A
bin.274	d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halobacteroidales;f__Halobacteroidaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCF_000328625.1	95.0	d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halobacteroidales;f__Halobacteroidaceae;g__Halobacteroides;s__Halobacteroides halobius	76.79	0.13	d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halobacteroidales;f__Halobacteroidaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	88.94	11	0.816292441374538	N/A
bin.275	d__Bacteria;p__Marinisomatota;c__;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Marinisomatota;c__;o__;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	93.27	11	0.38371752020339495	N/A
bin.276	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_009929775.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__RZZS01;s__RZZS01 sp009929775	75.27	0.01	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	90.09	11	0.8447018924215054	N/A
bin.277	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Aegiribacteria;s__	N/A	N/A	N/A	N/A	N/A	GCA_002030045.1	95.0	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Aegiribacteria;s__Aegiribacteria sp002030045	78.39	0.35	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Aegiribacteria;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013138965.1, s__Aegiribacteria sp013138965, 95.0, 77.44, 0.09; GCA_003644925.1, s__Aegiribacteria sp003644925, 95.0, 76.31, 0.08	88.13	11	0.9022448934992651	N/A
bin.278	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__	N/A	N/A	N/A	N/A	N/A	GCA_002313505.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__Alkalispirochaeta sp002313505	77.7	0.25	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__	taxonomic classification defined by topology and ANI	N/A	GCA_007130865.1, s__Alkalispirochaeta sp007130865, 95.0, 76.36, 0.08; GCA_007117185.1, s__Alkalispirochaeta sp007117185, 95.0, 76.28, 0.09; GCA_007695175.1, s__Alkalispirochaeta sp007695175, 95.0, 76.18, 0.09; GCF_000373545.1, s__Alkalispirochaeta alkalica, 95.0, 76.07, 0.07; GCF_900156105.1, s__Alkalispirochaeta americana, 95.0, 75.8, 0.05	89.32	11	0.940093423055167	N/A
bin.279	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__	N/A	N/A	N/A	N/A	N/A	GCA_002722315.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__GCA-2722315 sp002722315	80.21	0.51	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__	taxonomic classification defined by topology and ANI	N/A	GCF_012272825.1, s__GCA-2722315 sp012272825, 95.0, 79.85, 0.52	93.11	11	0.9387317146253491	N/A
bin.280	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011046055.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__DSBN01;s__DSBN01 sp011046055	76.16	0.11	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	75.1	11	0.844680589996639	N/A
bin.281	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12077;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94.5	11	0.8059511312947512	N/A
bin.282	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__;s__	taxonomic novelty determined using RED	N/A	N/A	97.24	11	0.9150929037766942	N/A
bin.283	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	92.75	11	0.9040587167509332	N/A
bin.284	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SURF-3;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SURF-3;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	86.26	11	0.7891310339452386	N/A
bin.285	d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__XYA12-FULL-58-9;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001798605.1	95.0	d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__XYA12-FULL-58-9;g__XYA12-FULL-58-9;s__XYA12-FULL-58-9 sp001798605	75.54	0.02	d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__XYA12-FULL-58-9;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	92.14	11	0.7238227092590043	N/A
bin.286	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	85.51	11	0.7442277204057783	N/A
bin.287	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	96.92	11	0.8352392180821876	N/A
bin.288	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__REDD01;s__	N/A	N/A	N/A	N/A	N/A	GCA_007693725.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__REDD01;s__REDD01 sp007693725	77.05	0.22	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	85.17	11	0.8920002564769142	N/A
bin.289	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_013042495.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__JABDQB01;s__JABDQB01 sp013042495	76.06	0.07	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.23	11	0.7873412183884417	N/A
bin.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_013002475.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JABDJM01;s__JABDJM01 sp013002475	74.46	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	57.2	11	0.8027678775812097	N/A
bin.30	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__PWMO01;g__JAAAOH01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__PWMO01;g__;s__	taxonomic novelty determined using RED	N/A	N/A	89.36	11	0.9299807885742217	N/A
bin.31	d__Bacteria;p__Eisenbacteria;c__;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	89.97	11	0.3855726825866963	N/A
